"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:lodestone","1","100%","1",
——,——,——,——,——
"1 to 2 time","--","--","--",
"minecraft:crossbow","1","8.3%","1/12","enchantments: *"
"minecraft:spectral_arrow","2..12","8.3%","1/12",
"minecraft:gilded_blackstone","5..8","8.3%","1/12",
"minecraft:crying_obsidian","3..8","8.3%","1/12",
"minecraft:gold_block","1","8.3%","1/12",
"minecraft:gold_ingot","2..8","8.3%","1/12",
"minecraft:iron_ingot","2..8","8.3%","1/12",
"minecraft:golden_sword","1","8.3%","1/12",
"minecraft:golden_chestplate","1","8.3%","1/12","enchantments: *"
"minecraft:golden_helmet","1","8.3%","1/12","enchantments: *"
"minecraft:golden_leggings","1","8.3%","1/12","enchantments: *"
"minecraft:golden_boots","1","8.3%","1/12","enchantments: *"
——,——,——,——,——
"2 to 4 time","--","--","--",
"minecraft:string","1..6","20%","1/5",
"minecraft:leather","1..3","20%","1/5",
"minecraft:arrow","5..17","20%","1/5",
"minecraft:iron_nugget","2..6","20%","1/5",
"minecraft:gold_nugget","2..6","20%","1/5",
