"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:diamond_shovel","1","4.8%","5/105","enchantments: *"
"minecraft:netherite_scrap","1","1.9%","2/105",
"minecraft:ancient_debris","1","2.9%","3/105",
"minecraft:saddle","1","9.5%","10/105",
"minecraft:gold_block","2..4","23.8%","25/105",
"minecraft:golden_hoe","1","14.3%","15/105","enchantments: *"
"empty",,"42.9%","45/105",
——,——,——,——,——
"3 to 4 time","--","--","--",
"minecraft:glowstone","1..5","8.3%","1/12",
"minecraft:gilded_blackstone","1..5","8.3%","1/12",
"minecraft:soul_sand","2..7","8.3%","1/12",
"minecraft:crimson_nylium","2..7","8.3%","1/12",
"minecraft:gold_nugget","2..8","8.3%","1/12",
"minecraft:leather","1..3","8.3%","1/12",
"minecraft:arrow","5..17","8.3%","1/12",
"minecraft:string","3..8","8.3%","1/12",
"minecraft:porkchop","2..5","8.3%","1/12",
"minecraft:cooked_porkchop","2..5","8.3%","1/12",
"minecraft:crimson_fungus","2..7","8.3%","1/12",
"minecraft:crimson_roots","2..7","8.3%","1/12",
