"Name","Count","Chance","Weight","Comment"
,,,,
"2 to 6 time","--","--","--",
"minecraft:emerald","2..6","7.3%","8/110",
"minecraft:iron_horse_armor","1","7.3%","8/110",
"minecraft:shield","1","5.5%","6/110",
"minecraft:iron_boots","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:iron_chestplate","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:iron_leggings","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:iron_helmet","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:iron_axe","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:iron_pickaxe","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:iron_shovel","1","5.5%","6/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:saddle","1","5.5%","6/110",
"minecraft:golden_horse_armor","1","5.5%","6/110",
"minecraft:diamond_axe","1","2.7%","3/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:crossbow","1","2.7%","3/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:diamond_chestplate","1","2.7%","3/110","enchantments: {levels: 10..20, treasure: true}"
"minecraft:diamond_horse_armor","1","2.7%","3/110",
"minecraft:enchanted_golden_apple","1","2.7%","3/110",
"minecraft:enchanted_book","1","10.9%","12/110","enchantments: [sharpness, bane_of_arthropods, efficiency, fortune, silk_touch, feather_falling]"
"minecraft:diamond","1..3","1.8%","2/110",
"minecraft:enchanted_book","1","4.5%","5/110","enchantments: [riptide, loyalty, channeling, impaling, mending]"
