minecraft:music_disc_11  = {song: "minecraft:11"}
minecraft:music_disc_13  = {song: "minecraft:13"}
minecraft:music_disc_5  = {song: "minecraft:5"}
minecraft:music_disc_blocks  = {song: "minecraft:blocks"}
minecraft:music_disc_cat  = {song: "minecraft:cat"}
minecraft:music_disc_chirp  = {song: "minecraft:chirp"}
minecraft:music_disc_creator  = {song: "minecraft:creator"}
minecraft:music_disc_creator_music_box  = {song: "minecraft:creator_music_box"}
minecraft:music_disc_far  = {song: "minecraft:far"}
minecraft:music_disc_mall  = {song: "minecraft:mall"}
minecraft:music_disc_mellohi  = {song: "minecraft:mellohi"}
minecraft:music_disc_otherside  = {song: "minecraft:otherside"}
minecraft:music_disc_pigstep  = {song: "minecraft:pigstep"}
minecraft:music_disc_precipice  = {song: "minecraft:precipice"}
minecraft:music_disc_relic  = {song: "minecraft:relic"}
minecraft:music_disc_stal  = {song: "minecraft:stal"}
minecraft:music_disc_strad  = {song: "minecraft:strad"}
minecraft:music_disc_wait  = {song: "minecraft:wait"}
minecraft:music_disc_ward  = {song: "minecraft:ward"}
