"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"{1}alternatives",,"100%","1",
"{1} loot_table[]minecraft:shearing/sheep/white","1 {1}",,,"is white and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/orange","1 {1}",,,"is orange and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/magenta","1 {1}",,,"is magenta and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/light_blue","1 {1}",,,"is light_blue and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/yellow","1 {1}",,,"is yellow and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/lime","1 {1}",,,"is lime and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/pink","1 {1}",,,"is pink and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/gray","1 {1}",,,"is gray and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/light_gray","1 {1}",,,"is light_gray and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/cyan","1 {1}",,,"is cyan and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/purple","1 {1}",,,"is purple and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/blue","1 {1}",,,"is blue and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/brown","1 {1}",,,"is brown and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/green","1 {1}",,,"is green and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/red","1 {1}",,,"is red and is not sheared"
"{1} loot_table[]minecraft:shearing/sheep/black","1 {1}",,,"is black and is not sheared"
