"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:enchanted_book","1","1.1%","5/469","enchantments: soul_speed"
"minecraft:iron_boots","1","1.7%","8/469","enchantments: soul_speed"
"minecraft:potion","1","1.7%","8/469","fire_resistance"
"minecraft:splash_potion","1","1.7%","8/469","fire_resistance"
"minecraft:potion","1","2.1%","10/469","water"
"minecraft:iron_nugget","10..36","2.1%","10/469",
"minecraft:ender_pearl","2..4","2.1%","10/469",
"minecraft:dried_ghast","1","2.1%","10/469",
"minecraft:string","3..9","4.3%","20/469",
"minecraft:quartz","5..12","4.3%","20/469",
"minecraft:obsidian","1","8.5%","40/469",
"minecraft:crying_obsidian","1..3","8.5%","40/469",
"minecraft:fire_charge","1","8.5%","40/469",
"minecraft:leather","2..4","8.5%","40/469",
"minecraft:soul_sand","2..8","8.5%","40/469",
"minecraft:nether_brick","2..8","8.5%","40/469",
"minecraft:spectral_arrow","6..12","8.5%","40/469",
"minecraft:gravel","8..16","8.5%","40/469",
"minecraft:blackstone","8..16","8.5%","40/469",
