"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"[1] loot_table[]","1 time","57.1% [1]","4/7 [1]",
"[2] minecraft:chainmail_helmet","1","50% [2]","1/2 [2]","enchantments: fire_protection, projectile_protection, protection"
"[2] minecraft:chainmail_chestplate","1","50% [2]","1/2 [2]","enchantments: fire_protection, projectile_protection, protection"
"[1] loot_table[]","1 time","28.6% [1]","2/7 [1]",
"[3] minecraft:iron_helmet","1","50% [3]","1/2 [3]","enchantments: fire_protection, projectile_protection, protection"
"[3] minecraft:iron_chestplate","1","50% [3]","1/2 [3]","enchantments: fire_protection, projectile_protection, protection"
"[1] loot_table[]","1 time","14.3% [1]","1/7 [1]",
"[4] minecraft:diamond_helmet","1","50% [4]","1/2 [4]","enchantments: fire_protection, projectile_protection, protection"
"[4] minecraft:diamond_chestplate","1","50% [4]","1/2 [4]","enchantments: fire_protection, projectile_protection, protection"
